datetime_utc,geo_name,precio_eur_mwh
2026-02-20 00:00:00+00:00,Península,84.87
2026-02-20 01:00:00+00:00,Península,77.71
2026-02-20 02:00:00+00:00,Península,73.5
2026-02-20 03:00:00+00:00,Península,73.21
2026-02-20 04:00:00+00:00,Península,74.41
2026-02-20 05:00:00+00:00,Península,88.59
2026-02-20 06:00:00+00:00,Península,137.94
2026-02-20 07:00:00+00:00,Península,158.43
2026-02-20 08:00:00+00:00,Península,93.5
2026-02-20 09:00:00+00:00,Península,154.87
2026-02-20 10:00:00+00:00,Península,156.69
2026-02-20 11:00:00+00:00,Península,156.95
2026-02-20 12:00:00+00:00,Península,156.99
2026-02-20 13:00:00+00:00,Península,88.15
2026-02-20 14:00:00+00:00,Península,88.35
2026-02-20 15:00:00+00:00,Península,86.7
2026-02-20 16:00:00+00:00,Península,99.11
2026-02-20 17:00:00+00:00,Península,227.22
2026-02-20 18:00:00+00:00,Península,266.29
2026-02-20 19:00:00+00:00,Península,272.4
2026-02-20 20:00:00+00:00,Península,268.7
2026-02-20 21:00:00+00:00,Península,159.46
2026-02-20 22:00:00+00:00,Península,133.52
2026-02-20 23:00:00+00:00,Península,93.46
2026-02-21 00:00:00+00:00,Península,90.91
2026-02-21 01:00:00+00:00,Península,89.74
2026-02-21 02:00:00+00:00,Península,90.45
2026-02-21 03:00:00+00:00,Península,88.73
2026-02-21 04:00:00+00:00,Península,93.46
2026-02-21 05:00:00+00:00,Península,95.78
2026-02-21 06:00:00+00:00,Península,99.3
2026-02-21 07:00:00+00:00,Península,116.4
2026-02-21 08:00:00+00:00,Península,71.95
2026-02-21 09:00:00+00:00,Península,60.15
2026-02-21 10:00:00+00:00,Península,64.8
2026-02-21 11:00:00+00:00,Península,66.07
2026-02-21 12:00:00+00:00,Península,66.85
2026-02-21 13:00:00+00:00,Península,67.73
2026-02-21 14:00:00+00:00,Península,69.38
2026-02-21 15:00:00+00:00,Península,67.28
2026-02-21 16:00:00+00:00,Península,67.51
2026-02-21 17:00:00+00:00,Península,118.82
2026-02-21 18:00:00+00:00,Península,177.76
2026-02-21 19:00:00+00:00,Península,185.59
2026-02-21 20:00:00+00:00,Península,181.53
2026-02-21 21:00:00+00:00,Península,141.46
2026-02-21 22:00:00+00:00,Península,106.27
2026-02-21 23:00:00+00:00,Península,110.79
2026-02-22 00:00:00+00:00,Península,108.29
2026-02-22 01:00:00+00:00,Península,109.23
2026-02-22 02:00:00+00:00,Península,100.38
2026-02-22 03:00:00+00:00,Península,99.38
2026-02-22 04:00:00+00:00,Península,96.12
2026-02-22 05:00:00+00:00,Península,95.2
2026-02-22 06:00:00+00:00,Península,100.7
2026-02-22 07:00:00+00:00,Península,120.6
2026-02-22 08:00:00+00:00,Península,82.35
2026-02-22 09:00:00+00:00,Península,72.86
2026-02-22 10:00:00+00:00,Península,72.29
2026-02-22 11:00:00+00:00,Península,72.49
2026-02-22 12:00:00+00:00,Península,73.75
2026-02-22 13:00:00+00:00,Península,73.81
2026-02-22 14:00:00+00:00,Península,75.63
2026-02-22 15:00:00+00:00,Península,75.31
2026-02-22 16:00:00+00:00,Península,80.08
2026-02-22 17:00:00+00:00,Península,105.54
2026-02-22 18:00:00+00:00,Península,152.48
2026-02-22 19:00:00+00:00,Península,187.73
2026-02-22 20:00:00+00:00,Península,183.84
2026-02-22 21:00:00+00:00,Península,132.73
2026-02-22 22:00:00+00:00,Península,105.06
2026-02-22 23:00:00+00:00,Península,95.2
2026-02-23 00:00:00+00:00,Península,92.3
2026-02-23 01:00:00+00:00,Península,92.75
2026-02-23 02:00:00+00:00,Península,87.5
2026-02-23 03:00:00+00:00,Península,84.5
2026-02-23 04:00:00+00:00,Península,90.1
2026-02-23 05:00:00+00:00,Península,92.46
2026-02-23 06:00:00+00:00,Península,154.02
2026-02-23 07:00:00+00:00,Península,175.01
2026-02-23 08:00:00+00:00,Península,96.83
2026-02-23 09:00:00+00:00,Península,145.26
2026-02-23 10:00:00+00:00,Península,144.83
2026-02-23 11:00:00+00:00,Península,144.44
2026-02-23 12:00:00+00:00,Península,144.04
2026-02-23 13:00:00+00:00,Península,75.22
2026-02-23 14:00:00+00:00,Península,75.91
2026-02-23 15:00:00+00:00,Península,77.45
2026-02-23 16:00:00+00:00,Península,100.67
2026-02-23 17:00:00+00:00,Península,244.68
2026-02-23 18:00:00+00:00,Península,301.11
2026-02-23 19:00:00+00:00,Península,357.53
2026-02-23 20:00:00+00:00,Península,289.28
2026-02-23 21:00:00+00:00,Península,155.57
2026-02-23 22:00:00+00:00,Península,124.15
2026-02-23 23:00:00+00:00,Península,95.91
2026-02-24 00:00:00+00:00,Península,90.14
2026-02-24 01:00:00+00:00,Península,89.17
2026-02-24 02:00:00+00:00,Península,89.08
2026-02-24 03:00:00+00:00,Península,87.92
2026-02-24 04:00:00+00:00,Península,89.14
2026-02-24 05:00:00+00:00,Península,109.65
2026-02-24 06:00:00+00:00,Península,176.05
2026-02-24 07:00:00+00:00,Península,169.88
2026-02-24 08:00:00+00:00,Península,102.84
2026-02-24 09:00:00+00:00,Península,152.79
2026-02-24 10:00:00+00:00,Península,152.95
2026-02-24 11:00:00+00:00,Península,153.52
2026-02-24 12:00:00+00:00,Península,153.56
2026-02-24 13:00:00+00:00,Península,84.52
2026-02-24 14:00:00+00:00,Península,84.91
2026-02-24 15:00:00+00:00,Península,85.67
2026-02-24 16:00:00+00:00,Península,98.87
2026-02-24 17:00:00+00:00,Península,221.39
2026-02-24 18:00:00+00:00,Península,280.62
2026-02-24 19:00:00+00:00,Península,255.29
2026-02-24 20:00:00+00:00,Península,210.69
2026-02-24 21:00:00+00:00,Península,129.44
2026-02-24 22:00:00+00:00,Península,122.63
2026-02-24 23:00:00+00:00,Península,87.06
2026-02-25 00:00:00+00:00,Península,84.45
2026-02-25 01:00:00+00:00,Península,82.83
2026-02-25 02:00:00+00:00,Península,79.64
2026-02-25 03:00:00+00:00,Península,79.85
2026-02-25 04:00:00+00:00,Península,81.45
2026-02-25 05:00:00+00:00,Península,98.36
2026-02-25 06:00:00+00:00,Península,165.84
2026-02-25 07:00:00+00:00,Península,185.91
2026-02-25 08:00:00+00:00,Península,104.47
2026-02-25 09:00:00+00:00,Península,150.28
2026-02-25 10:00:00+00:00,Península,150.82
2026-02-25 11:00:00+00:00,Península,151.2
2026-02-25 12:00:00+00:00,Península,150.67
2026-02-25 13:00:00+00:00,Península,82.12
2026-02-25 14:00:00+00:00,Península,81.86
2026-02-25 15:00:00+00:00,Península,85.53
2026-02-25 16:00:00+00:00,Península,109.24
2026-02-25 17:00:00+00:00,Península,250.62
2026-02-25 18:00:00+00:00,Península,297.51
2026-02-25 19:00:00+00:00,Península,296.1
2026-02-25 20:00:00+00:00,Península,290.29
2026-02-25 21:00:00+00:00,Península,165.44
2026-02-25 22:00:00+00:00,Península,136.24
2026-02-25 23:00:00+00:00,Península,95.02
2026-02-26 00:00:00+00:00,Península,90.56
2026-02-26 01:00:00+00:00,Península,84.75
2026-02-26 02:00:00+00:00,Península,80.17
2026-02-26 03:00:00+00:00,Península,79.9
2026-02-26 04:00:00+00:00,Península,86.69
2026-02-26 05:00:00+00:00,Península,106.51
2026-02-26 06:00:00+00:00,Península,162.06
2026-02-26 07:00:00+00:00,Península,170.64
2026-02-26 08:00:00+00:00,Península,101.28
2026-02-26 09:00:00+00:00,Península,151.98
2026-02-26 10:00:00+00:00,Península,151.53
2026-02-26 11:00:00+00:00,Península,154.28
2026-02-26 12:00:00+00:00,Península,153.51
2026-02-26 13:00:00+00:00,Península,84.18
2026-02-26 14:00:00+00:00,Península,83.87
2026-02-26 15:00:00+00:00,Península,85.94
2026-02-26 16:00:00+00:00,Península,98.92
2026-02-26 17:00:00+00:00,Península,214.98
2026-02-26 18:00:00+00:00,Península,280.88
2026-02-26 19:00:00+00:00,Península,288.34
2026-02-26 20:00:00+00:00,Península,267.9
2026-02-26 21:00:00+00:00,Península,148.96
2026-02-26 22:00:00+00:00,Península,122.03
2026-02-26 23:00:00+00:00,Península,89.48
2026-02-27 00:00:00+00:00,Península,81.98
2026-02-27 01:00:00+00:00,Península,84.92
2026-02-27 02:00:00+00:00,Península,84.46
2026-02-27 03:00:00+00:00,Península,83.77
2026-02-27 04:00:00+00:00,Península,84.17
2026-02-27 05:00:00+00:00,Península,98.14
2026-02-27 06:00:00+00:00,Península,125.31
2026-02-27 07:00:00+00:00,Península,144.79
2026-02-27 08:00:00+00:00,Península,105.97
2026-02-27 09:00:00+00:00,Península,162.78
2026-02-27 10:00:00+00:00,Península,160.07
2026-02-27 11:00:00+00:00,Península,161.1
2026-02-27 12:00:00+00:00,Península,160.97
2026-02-27 13:00:00+00:00,Península,92.72
2026-02-27 14:00:00+00:00,Península,93.32
2026-02-27 15:00:00+00:00,Península,100.71
2026-02-27 16:00:00+00:00,Península,122.26
2026-02-27 17:00:00+00:00,Península,218.1
2026-02-27 18:00:00+00:00,Península,247.9
2026-02-27 19:00:00+00:00,Península,259.58
2026-02-27 20:00:00+00:00,Península,240.07
2026-02-27 21:00:00+00:00,Península,150.62
2026-02-27 22:00:00+00:00,Península,133.76
